"","RefNo","Author","Year","Title","Source","CrossRef1","CrossRef2","CrossRef3","CrossRef4","CrossRef5"
"906",96948,"Stewart, J., W. Sumpton, M. Lockett and J.M. Hughes",2013,"Age-based demographics of the pearl perch <i>Glaucosoma scapulare</i> (Ramsay, 1881).","J. Appl. Ichthyol. 29(4):801-807.",NA,NA,NA,NA,NA
"907",6263,"Bowering, W.R. and W.B. Brodie",1991,"Distribution of commercial flatfishes in the Newfoundland-Labrador region of the Canadian Northwest Atlantic and changes in certain biological parameters since exploitation.","Neth. J. Sea Res. 27(3/4):407-422.",NA,NA,NA,NA,NA
"908",6258,"Maitland, P.S. and R.N. Campbell",1992,"Freshwater fishes of the British Isles.","HarperCollins Publishers, London.368 p.",41750,NA,NA,NA,NA
"909",97194,"Filiz, H. and M. To?ulga",2009,"Age and growth, reproduction and diet of the black goby (<i>Gobius niger</i>) from Aegean Sea, Turkey.","J. Fish. Sci.com 3(3): 243-265.",NA,NA,NA,NA,NA
"910",2156,"Scott, T.D., C.J.M. Glover and R.V. Southcott",1974,"The marine and freshwater fishes of South Australia.","A.B. James, Government Printer, South Australia. 2nd ed. 392 p.",NA,NA,NA,NA,NA
"911",2750,"van der Waal, B.C.W.",1976,"'n Visekologiese studie van die Liambezimeer in die Oos-Caprivi met verwysing na visontginning deur die Bantoe bevolking.","Ph.D. Thesis, Rand Afrikaans University. Johannesburg, South Africa. (in Afrikaans).",NA,NA,NA,NA,NA
"912",1285,"Herald, R. and M. Rakowicz",1951,"Stable requirements for raising sea horses.","Aquarium J. 22:234-242.",796,NA,NA,NA,NA
"913",51639,"Meunier, F.J., N. Journiac, S. Lavou<e9> and N. Rabet",2002,"Histological charactersitics of the skeletal growth marks of the Atipa, <i>Hoplosternum littorale</i> (Hancock, 1828) (Teleostei, Siluriformes), in the swamp of Kaw (French Guiana).","Bull. Fr. Piscic. 364:71-86.",NA,NA,NA,NA,NA
"914",3680,"Fenton, G.E., S.A. Short and D.A. Ritz",1991,"Age determination of orange roughy <i>Hoplostethus atlanticus</i> (Pisces: Trachichthyidae) using 210 Pb/226Ra disequilibria.","Mar. Biol. 109:197-202.",NA,NA,NA,NA,NA
"915",26316,"D'Onghia, G., A. Tursi, C.A. Marano and M. Basanisi",1998,"Life history traits of <i>Hoplostethus mediterraneus</i> (Pisces: Beryciformes) from the North-Western Ionian Sea (Mediterranean Sea).","J. Mar. Biol. Ass. U.K. 78:321-339.",NA,NA,NA,NA,NA
"916",2757,"Srinn, K.Y.",1974,"Biologie d' <i>Hydrocynus forskalii</i> du bassin tchadien.","Th<e8>se de 3<e8>me cycle, Universit<e9> Paul Sabatier, Toulouse. 126 p.",NA,NA,NA,NA,NA
"917",2754,"Griffith, J.S.",1975,"Annulus formation and growth of tiger fish <i>Hydrocynus vittatus</i> in Lake Bangweulu, Zambia.","Trans. Am. Fish. Soc. 106(2):146-150.",NA,NA,NA,NA,NA
"918",72499,"Sato, K.",1952,"Japanese angler.","Foreign Affairs Association of Japan.",NA,NA,NA,NA,NA
"919",72502,"Yapchiongo, J.V.",1949,"Hypomesus pretiosus: Its development and early life history.","National Applied Sci. Bull. 9:3-108.",NA,NA,NA,NA,NA
"920",36872,"Manickchand-Heileman, S.C. and D.A.T. Phillip",2000,"Age and growth of the yellowedge grouper, <i>Epinephelus flavolimbatus</i>, and the yellowmouth grouper, <i>Mycteroperca interstitialis</i>, off Trinidad and Tobago.","Fish. Bull. 98:290-298.",45317,NA,NA,NA,NA
"921",3090,"Manooch, C.S. III",1987,"Age and growth of snappers and groupers.","p. 329-373. In J.J. Polovina and S. Ralston (eds.) Tropical snappers and groupers: biology and fisheries management. Ocean Resour. Mar. Policy Ser. Westview Press, Inc., Boulder and London.",NA,NA,NA,NA,NA
"922",56580,"Tokranov, A.M. and A.M. Orlov",2004,"Some aspects of the biology of the northern four-horned poacher <i>Hypsagonus quadricornis</i> (Agonidae) in Pacific waters off the northern Kuril Islands.","J. Ichthyol. 44(7):508-514.",NA,NA,NA,NA,NA
"923",56052,"Stephens, J. Jr., R. Johnson, G. Key and J. McCosker",1970,"The comparative ecology of three sympatric species of California blennies of the genus <i>Hypsoblennius</i>.","Ecol. Monogr. 40:213-233.",56049,NA,NA,NA,NA
"924",52465,"Velte, F.",2004,"Wie alt werden Riffbarsche?.","Datz 57:26.",NA,NA,NA,NA,NA
"925",55426,"Coelho, M.M., N. Mesquita and M.J. Collares-Pereira",2005,"<i>Chondrostoma almacai</i>, a new cyprinid species from the southwest of Portugal, Iberian Peninsula.","Folia Zool. 54(1-2):201-212.",NA,NA,NA,NA,NA
"926",53742,"Prince, E.D., D.W. Lee, C.A. Wilson and J.M. Dean",1986,"Longevity and age validation of tag-recaptured Atlantic sailfish, <i>Istiophorus platypterus</i>, using dorsal spines and otoliths.","Fish. Bull. 84:493-502.",53612,NA,NA,NA,NA
"927",7084,"Kimoto, H., S. Hiyama, Y. Arie and H. Ogawa",1991,"Stock management scheme for stone flounder in Suo-Nada.","Nippon Suisan Gakkaishi 57(6):1009-1017.",NA,NA,NA,NA,NA
"928",168,"Collette, B.B. and C.E. Nauen",1983,"FAO Species Catalogue. Vol. 2. Scombrids of the world. An annotated and illustrated catalogue of tunas, mackerels, bonitos and related species known to date.","Rome: FAO. FAO Fish. Synop. 125(2):137 p.",167,212,27,235,238
"929",56,"Khan, H.A. and V.G. Jhingran",1975,"Synopsis of biological data on rohu <i>Labeo rohita</i> (Hamilton, 1822).","FAO Fish. Synop. (111):100 p.",NA,NA,NA,NA,NA
"930",3426,"Robertson, D.R.",1974,"A study of the ethology and reproductive biology of the labrid fish, <i>Labroides dimidiatus</i> at Heron Island, Great Barrier Reef.","University of Queensland, Brisbane. 295 p. Ph.D dissertation.",NA,NA,NA,NA,NA
"931",6843,"Dipper, F.A., C.R. Bridges and A. Menz",1977,"Age, growth and feeding in the ballan wrasse, <i>Labrus bergylta</i> Ascanius 1767.","J. Fish Biol. 11:105-120.",6486,NA,NA,NA,NA
"932",93706,"McBride, R.S. and A.K. Richardson",2007,"Evidence of size-selective fishing mortality from an age and growth study of hogfish (Labridae: <i>Lachnolaimus maximus</i>), a hermaphroditic reef fish.","Bull. Mar. Sci. 80(2):401-417.",NA,NA,NA,NA,NA
"933",30865,"Froese, R. and M.L.D. Palomares",2000,"Growth, natural mortality, length-weight relationship, maximum length and length-at-first-maturity of the coelacanth <i>Latimeria chalumnae</i>.","Environ. Biol. Fish. 58(1):45-52.",NA,NA,NA,NA,NA
"934",31146,"Grossman, G.D.",1979,"Demographic characteristics of an intertidal bay goby (<i>Lepidogobius lepidus</i>).","Environ. Biol. Fish. 4(3):207-218.",NA,NA,NA,NA,NA
"935",5789,"Duhamel, G. and C. Ozouf-Costaz",1985,"Age, growth and reproductive biology of <i>Notothenia squamifrons</i> Gunther, 1880 from the Indian sector of the southern ocean.","Polar Biol. 4:143-153.",NA,NA,NA,NA,NA
"936",37594,"Orr, J.W. and A.C. Matarese",2000,"Revision of the genus <i>Lepidopsetta</i> Gill, 1862 (Teleostei: Pleuronectidae) based on larval and adult morphology, with a description of a new species from the North Pacific Ocean and Bering Sea.","Fish. Bull. 98:539-582.",NA,NA,NA,NA,NA
"937",108908,"Robson, S.M.",2004,"Age, growth, reproductive biology and population dynamics of the common megrim <i>Lepidorhombus whiffiagonis</i> (Walbaum, 1792) from off the west coast of Ireland.","PhD Thesis, Galway-Mayo Institute of Technology, 280 p.",NA,NA,NA,NA,NA
"938",72492,"Bailey, R.M. and K.F. Lagler",1938,"An analysis of hybridization in a population of stunted sunfishes in New York.","Michigan Academy of Sciences 23:588.",NA,NA,NA,NA,NA
"939",72493,"Hubbell, P.M.",1966,"Pumpkinseed sunfish, in Inland Fisheries Management, Calhoun.","Calif. Dept. Fish. Game. 402-404, 405-407.",NA,NA,NA,NA,NA
"940",28936,"Weiss, E.F. Jr.",1969,"The age and growth of the marine cottid <i>Leptocottus armatus</i>.","Proc. Montana Acad. Sci. 29:63-71.",27547,NA,NA,NA,NA
"941",50621,"Harada, T. and T. Ozawa",2003,"Age and growth of <i>Lestrolepis japonica</i> (Aulopiformes: Paralepididae) in Kagoshima Bay, southern Japan.","Ichthyol. Res. 50:182-185.",NA,NA,NA,NA,NA
"942",2290,"Loubens, G.",1980,"Biologie de quelques esp<e8>ces de poissons du lagon N<e9>o-Cal<e9>donien. III. Croissance.","Cah. Indo-Pac. 2:101-153.",12149,72420,NA,NA,NA
"943",2293,"Loubens, G.",1980,"Biologie de quelques esp<e8>ces de poissons du lagon N<e9>o-Cal<e9>donien. II. Sexualit<e9> et reproduction.","Cah. Indo-Pac. 2(1):41-72.",33015,NA,NA,NA,NA
"944",40480,"Biro, P. and G. Furesz",1976,"The growth of asp (<i>Aspius aspius</i> L.) in Lake Balaton and the selective effects of commercial fisheries on population structure.","Ann. Inst. Biol. Acad. Sci. Hung. Tihany 43:47-67.",NA,NA,NA,NA,NA
"945",93003,"Fishing World Records.Com e.U.",2013,"World Records Freshwater Fishing.","http://www.fishing-worldrecords.com (downloaded on 14/02/2013).",NA,NA,NA,NA,NA
"946",1744,"Clark, F.N.",1925,"Missing.","Fish. Bull. (10).",NA,NA,NA,NA,NA
"947",6286,"Pitt, T.K.",1974,"Age composition and growth of yellowtail flounder (<i>Limanda ferruginea</i>) from the Grand Bank.","J. Fish. Res. Board Can. 31:1800-1802.",NA,NA,NA,NA,NA
"948",27407,"Rijnsdorp, A.D., A.D. Vethaak and P.I. Van Leeuwan",1992,"Population biology of dab <i>Limanda limanda</i> in the southeastern North Sea.","Mar. Ecol. Prog. Ser. 91:19-35.",27372,NA,NA,NA,NA
"949",56473,"Borets, L.A.",1993,"Flatfishes.","P. 93-97 in F.S. Terziev (Ed.). Project ""The seas"". Hydrometeorology and Hydrochemistry of the seas. Vol. 9. Sea of Okhotsk. Sankt-Peterburg, Gidrometeoizdat.",NA,NA,NA,NA,NA
"950",37572,"Holtzhausen, J.A.",1999,"Population dynamics and life history of westcoast Steenbras (<i>Lithognatus aureti</i> (Sparidae)), and management options for the sustainable exploitation of the Steenbras resource in Namibian waters.","Dissertation (Ph.D.)--University of Port Elizabeth Faculty of Science. 136 p.",NA,NA,NA,NA,NA
"951",13716,"Kraljevic, M., J. Dulcic, P. Cetinic and A. Palaoro",1996,"Age, growth and mortality of the striped sea bream, <i>Lithognathus mormyrus</i> L., in the northern Adriatic.","Fish. Res. 28(4):361-370.",NA,NA,NA,NA,NA
"952",46508,"Landa, J., P. Pereda, R. Duarte and M. Azevedo",2001,"Growth of anglerfish (<i>Lophius piscatorius</i> and <i>L. budegassa</i>) in Atlantic Iberian waters.","Fish. Res. 51(2-3):363-376.",13527,NA,NA,NA,NA
"953",36279,"Maartens, L., A.J. Booth and T. Hecht",1999,"The growth of monkfish <i>Lophius vomerinus</i> in Namibian waters with a comparison of otolith and illicia methods of ageing.","Fish. Res. 44(2):139-148.",NA,NA,NA,NA,NA
"954",6086,"Turner, S.C., C.B. Grimes and K.W. Able",1983,"Growth, mortality, and age/size structure of the fisheries for tilefish, <i>Lopholatilus chamaelonticeps</i>, in the Middle Atlantic-Southern New England region.","Fish. Bull. 81(4):751-763.",NA,NA,NA,NA,NA
"955",46200,"Burton, M.L.",2002,"Age, growth and mortality of mutton snapper, <i>Lutjanus analis</i>, from the east coast of Florida, with a brief discussion of management implications.","Fish. Res. 59(1-2):31-41.",NA,NA,NA,NA,NA
"956",82366,"Fry, G.C., D.T. Brewer and W.N. Venables",2006,"Vulnerability of deepwater demersal fishes to commercial fishing: Evidence from a study around a tropical volcanic seamount in Papua New Guinea.","Fish. Res. 81:126-141.",NA,NA,NA,NA,NA
"957",48779,"Allman, R.J., G.R. Fitzhugh and W.A. Fable",2002,"Report of red snapper otolith aging: 2002 data summary.","NMFS Southeast Fisheries Science Center, Panama City Laboratory Contribution Series 02-02. 5 pp., tables and figs.",NA,NA,NA,NA,NA
"958",37970,"Newman, S.J., M. Cappo and D. McB. Williams",2000,"Age, growth and mortality of the stripey, <i>Lutjanus carponotatus</i> (Richardson) and the brown-stripe snapper, <i>L. vitta</i> (Quoy and Gaimard) from the central Great Barrier Reef, Australia.","Fish. Res. 48(3):263-275.",NA,NA,NA,NA,NA
"959",5739,"Chen, C.Y., S.Y. Yeh and H.C. Liu",1984,"Age and growth of <i>Lutjanus malabaricus</i> in the northwestern shelf off Australia.","Acta Oceanogr. Taiwan. 15:154-164.",NA,NA,NA,NA,NA
"960",107771,"Shimose, T. and A. Nanami",2014,"Age, growth and reproductive biology of blacktail snapper, <i>Lutjanus fulvus</i>, around the Yaeyama Islands, Okinawa, Japan.","Ichthyol. Res. 61(4):322-331.",NA,NA,NA,NA,NA
"961",34051,"Newman, S.J., D.McB. Williams and G.R. Russ",1996,"Age validation, growth and mortality rates of the tropical snappers (Pisces: Lutjanidae) <i>Lutjanus adetti</i> (Castelnau, 1873) and <i>L. quinquelineatus</i> (Bloch, 1790) from the central Great Barrier Reef, Australia.","Mar. Freshwat. Res. 47:575-584.",32341,NA,NA,NA,NA
"962",96972,"Newman, S.J., C.L. Skepper and C.B. Wakefield",2010,"Age estimation and otolith characteristics of an unusually old, red emperor snapper (<i>Lutjanus sebae</i> captured off Kimberly coast of north-western Australia.","J. Appl. Ichthyol. 26(1):120-122.",NA,NA,NA,NA,NA
"963",72498,"Beverton, R.J.H., J.R. Beddington and D.M. Lavigne",1985,"Marine mammals and fisheries.","Boston: G. Allen & Unwin.",NA,NA,NA,NA,NA
"964",9975,"Crabtree, R.E., E.C. Cyr and J.M. Dean",1995,"Age and growth of tarpoon, <i>Megalops atlanticus</i>, from south Florida waters.","Fish. Bull. 93:619-628.",NA,NA,NA,NA,NA
"965",72487,"Kulkarni, C.V.",1983,"Longevity of fish <i>Megalops cyprinoides</i> (Broiss).","J. of the Bombay Nat. Hist. Soc. 80:230-232.",NA,NA,NA,NA,NA
"966",4645,"Muus, B. and P. Dahlstr<f6>m",1978,"Meeresfische der Ostsee, der Nordsee, des Atlantiks.","BLV Verlagsgesellschaft, M<fc>nchen. 244 p.",35388,NA,NA,NA,NA
"967",72478,"Mense, J.B.",1967,"Ecology of the Mississippi silversides, <i>Menidia audens</i> Hay, in Lake Texoma.","Oklahoma Fish. Res. Laboratory Bull. 6:32.",NA,NA,NA,NA,NA
"968",27,"Isaac, V.J.",1988,"Synopsis of biological data on the whitemouth croaker, <i>Micropogonias furnieri</i> (Desmarest, 1823).","FAO Fish. Synop. (150).",NA,NA,NA,NA,NA
"969",46974,"Quinn, S.",2001,"How long do fish live?.","In-Fisherman 26(5):15.",NA,NA,NA,NA,NA
"970",6112,"Rae, B.B.",1965,"The lemon sole.","Fishing News (Books) Ltd., London. 106 p.",27372,NA,NA,NA,NA
"971",74500,"Hunter, J.R., J.L. Butler, C. Kimbrell and E.A. Lynn",1990,"Bathymetric patterns in size, age, sexual maturity, water content, and caloric density of dover sole, <i>Microstomus pacificus</i>.","CalCOFI Rep. 31.",NA,NA,NA,NA,NA
"972",1468,"Fiedler, K.",1991,"Lehrbuch der Speziellen Zoologie. Band II: Wirbeltiere. 2. Teil: Fische.","D. Starck (ed.). Gustav Fischer Verlag, Jena. 498 p.",NA,NA,NA,NA,NA
"973",28725,"Thomson, J.M.",1963,"Synopsis of the biological data on the grey mullet <i>Mugil cephalus</i> Linnaeus 1758.","CSIRO Division of Fisheries and Oceanography, Fisheries Synopsis 1. 65 p.",6390,NA,NA,NA,NA
"974",92286,"ICES",2012,"Report of the Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak (WGNSSK), 27 April - 03 May 2012, ICES Headquarters, Copenhagen.","ICES CM 2012/ACON:13. 1346 p.",NA,NA,NA,NA,NA
"975",55930,"Nico, L.G., J.D. Williams and H.L. Jelks",2005,"Black carp: biological synopsis and risk assessment of an introduced fish.","American Fisheries Society, Bethesda, Maryland, USA. 337 p.",NA,NA,NA,NA,NA
"976",41789,"Morgan, D.L., H.S. Gill and I.C. Potter",1995,"Life cycle, growth and diet of Balston's pygmy perch in its natural habitat of acidic pools in south-western Australia.","J. Fish Biol. 47(5):808-825.",52191,NA,NA,NA,NA
"977",30466,"Grove-Jones, R.P. and A.F. Burnell",1991,"Fisheries biology of the ocean jacket (Monacanthidae: <i>Nelusetta ayraudi</i>) in the eastern waters of the Great Australian Bight.","South Australian Department of Fisheries. FIRDC Project DFS01Z. Final Report. 107 p.",6390,NA,NA,NA,NA
"978",1448,"Lee, C.K.C.",1975,"The exploitation of <i>Nemipterus japonicus</i> (Bloch) by Hongkong vessels in 1972-73.","p. 48-52. In B. Morton (ed.) Symposium Papers of the Pacific Science Association Special Symposium on Marine Science, 7-16 December 1973, Hongkong, PSA, Hongkong.",NA,NA,NA,NA,NA
"979",96857,"Erguden, D., C. Turan, M. Gurlek, D. Yaglioglu and M. Gungor",2010,"Age and growth of the Randall<92>s threadfin bream <i>Nemipterus randalli</i> (Russell, 1986), a recent Lessepsian migrant in Iskenderun Bay, northeastern Mediterranean.","J. Appl. Ichthyol. 26(3):441-444.",NA,NA,NA,NA,NA
"980",110985,"Sokolowska, E. and D.P. Fey",2009,"Age and growth of the round goby <i>Neogobius melanostomus</i> in the Gulf of Gd<e1>nsk several years after invasion. Is the Baltic Sea a new Promised Land?","J. Fish Biol. 78:1993-2009.",NA,NA,NA,NA,NA
"981",40732,"Middleton, R.W. and J.A. Musick",1986,"The abundance and distribution of the family Macrouridae (Pisces: Gadiformes) in the Norfolk Canyon area.","Fish. Bull. 84(1):35-62.",NA,NA,NA,NA,NA
"982",52186,"Kakuda, S. and K. Nakai",1980,"On the age and growth of <i>Nibea albiflora</i>.","Bull. Jap. Soc. Sci. Fish. 46(2):139-143.",NA,NA,NA,NA,NA
"983",3221,"McClanes, A.J. (ed.)",1974,"Field guide to freshwater fishes of North America.","Holt, Rinehart and Winston, New York. 212 p.",NA,NA,NA,NA,NA
"984",36794,"Drummond Sedgwick, S.",1982,"The salmon handbook: the life and cultivation of fishes of the salmon family.","Andre Deutsch Ltd., London, UK, 247 p.",NA,NA,NA,NA,NA
"985",51586,"Shiao, J.C., C.S. Tzeng, C.L. Leu and F.C. Chen",1999,"Enhancing the contrast and visibility of daily growth increments in fish otoliths etched by proteinase K buffer.","J. Fish Biol. 54:302-309.",NA,NA,NA,NA,NA
"986",164,"Noakes, D.G.L. and E.K. Balon",1982,"Life histories of tilapias: an evolutionary perspective.","p. 61-82. In R.S.V. Pullin and R.H. Lowe-McConnell (eds.) The biology and culture of tilapias. ICLARM Conf. Proc. 7.",87,NA,NA,NA,NA
"987",682,"Muus, B.J. and P. Dahlstr<f6>m",1967,"Guide des poissons d'eau douce et p<ea>che.","GEC Gads Forlag, Copenhague. 242 p.",35387,NA,NA,NA,NA
"988",52222,"Bailey, M.M.",1964,"Age, growth, maturity and sex composition of the American smelt, <i>Osmerus mordax</i> (Mitchill), of western Lake Superior.","Trans. Am. Fish. Soc. 93:382-395.",52191,NA,NA,NA,NA
"989",72458,"Jarzhombek, A.A.",2007,"Compilation of studies on the growth of Acanthopterygii.","Russian Federal Research Institute of Fisheries and Oceanography (VNIRO). 86 p.",NA,NA,NA,NA,NA
"990",45538,"Lee, D.W., Y.M. Kim and B.Q. Hong",1992,"Age and growth of silver pomfret (<i>Pampus argenteus</i>) in Korean waters.","Bull. Natl. Fish. Res. Dev. Agency Korea (46):31-40.",NA,NA,NA,NA,NA
"991",33520,"Frey, H.W. (ed.)",1971,"California's living marine resources and their utilization.","Calif. Dep. Fish Game. 148 p.",265,NA,NA,NA,NA
"992",52684,"Desfosse, J.C.",1995,"Movements and ecology of summer flounder, <i>Paralichthys dentatus</i>, tagged in the southern mid-Atlantic bight.","Unpubl. PhD. diss., College of William and Mary, Williamsburg, VA. 187 p.",52682,NA,NA,NA,NA
"993",46275,"Fisher, A.J. and B.A. Thompson",2001,"The age and growth of southern flounder, <i>Paralichthys lethostigma</i>, in Louisiana waters.","p. 161-173. In 15/03/05 R. LeRoy Creswell (eds.) Proc. 52nd Gulf and Caribbean Fisheries Institute, Key West, Florida, November 1999. Fort Pierce, Florida.",NA,NA,NA,NA,NA
